1,0.75,1.66,1.13,0.96,-1,1.38,2,0.82,0,0,0.96,1,0,1,1.5,-0.38,-2,0.16,0.46,0.53,0.78,0.87,-0.2,-0.18,1.06,0,0.46,0.2,0.75,0.53,0.66,0.31,0.25,-0.23,1.05,-0.04,-0.667
0.96,0.72,1.5936,1.0848,0.9216,-0.96,1.3248,1.92,0.7872,0,0.96,0,0.96,0,0.96,1.44,-0.3648,-1.92,0.1536,0.4416,0.5088,0.7488,0.8352,-0.192,-0.1728,1.0176,0,0.4416,0.192,0.72,0.5088,0.6336,0.2976,0.24,-0.2208,1.008,-0.0384,-0.64032
1,0.75,1.66,1.13,0.96,-1,1.38,2,0.82,0,1,0.96,0,0,1,1.5,-0.38,-2,0.16,0.46,0.53,0.78,0.87,-0.2,-0.18,1.06,0,0.46,0.2,0.75,0.53,0.66,0.31,0.25,-0.23,1.05,-0.04,-0.667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.75,1.66,1.13,0.96,-1,1.38,2,0.82,0,1,0.96,1,0,0,1.5,-0.38,-2,0.16,0.46,0.53,0.78,0.87,-0.2,-0.18,1.06,0,0.46,0.2,0.75,0.53,0.66,0.31,0.25,-0.23,1.05,-0.04,-0.667
1.5,1.125,2.49,1.695,1.44,-1.5,2.07,3,1.23,0,1.5,1.44,1.5,0,1.5,0,-0.57,-3,0.24,0.69,0.795,1.17,1.305,-0.3,-0.27,1.59,0,0.69,0.3,1.125,0.795,0.99,0.465,0.375,-0.345,1.575,-0.06,-1.0005
-0.38,-0.285,-0.6308,-0.4294,-0.3648,0.38,-0.5244,-0.76,-0.3116,0,-0.38,-0.3648,-0.38,0,-0.38,-0.57,0,0.76,-0.0608,-0.1748,-0.2014,-0.2964,-0.3306,0.076,0.0684,-0.4028,0,-0.1748,-0.076,-0.285,-0.2014,-0.2508,-0.1178,-0.095,0.0874,-0.399,0.0152,0.25346
-2,-1.5,-3.32,-2.26,-1.92,2,-2.76,-4,-1.64,0,-2,-1.92,-2,0,-2,-3,0.76,0,-0.32,-0.92,-1.06,-1.56,-1.74,0.4,0.36,-2.12,0,-0.92,-0.4,-1.5,-1.06,-1.32,-0.62,-0.5,0.46,-2.1,0.08,1.334
0.16,0.12,0.2656,0.1808,0.1536,-0.16,0.2208,0.32,0.1312,0,0.16,0.1536,0.16,0,0.16,0.24,-0.0608,-0.32,0,0.0736,0.0848,0.1248,0.1392,-0.032,-0.0288,0.1696,0,0.0736,0.032,0.12,0.0848,0.1056,0.0496,0.04,-0.0368,0.168,-0.0064,-0.10672
0.46,0.345,0.7636,0.5198,0.4416,-0.46,0.6348,0.92,0.3772,0,0.46,0.4416,0.46,0,0.46,0.69,-0.1748,-0.92,0.0736,0,0.2438,0.3588,0.4002,-0.092,-0.0828,0.4876,0,0.2116,0.092,0.345,0.2438,0.3036,0.1426,0.115,-0.1058,0.483,-0.0184,-0.30682
0.53,0.3975,0.8798,0.5989,0.5088,-0.53,0.7314,1.06,0.4346,0,0.53,0.5088,0.53,0,0.53,0.795,-0.2014,-1.06,0.0848,0.2438,0,0.4134,0.4611,-0.106,-0.0954,0.5618,0,0.2438,0.106,0.3975,0.2809,0.3498,0.1643,0.1325,-0.1219,0.5565,-0.0212,-0.35351
0.78,0.585,1.2948,0.8814,0.7488,-0.78,1.0764,1.56,0.6396,0,0.78,0.7488,0.78,0,0.78,1.17,-0.2964,-1.56,0.1248,0.3588,0.4134,0,0.6786,-0.156,-0.1404,0.8268,0,0.3588,0.156,0.585,0.4134,0.5148,0.2418,0.195,-0.1794,0.819,-0.0312,-0.52026
0.87,0.6525,1.4442,0.9831,0.8352,-0.87,1.2006,1.74,0.7134,0,0.87,0.8352,0.87,0,0.87,1.305,-0.3306,-1.74,0.1392,0.4002,0.4611,0.6786,0,-0.174,-0.1566,0.9222,0,0.4002,0.174,0.6525,0.4611,0.5742,0.2697,0.2175,-0.2001,0.9135,-0.0348,-0.58029
-0.2,-0.15,-0.332,-0.226,-0.192,0.2,-0.276,-0.4,-0.164,0,-0.2,-0.192,-0.2,0,-0.2,-0.3,0.076,0.4,-0.032,-0.092,-0.106,-0.156,-0.174,0,0.036,-0.212,0,-0.092,-0.04,-0.15,-0.106,-0.132,-0.062,-0.05,0.046,-0.21,0.008,0.1334
-0.18,-0.135,-0.2988,-0.2034,-0.1728,0.18,-0.2484,-0.36,-0.1476,0,-0.18,-0.1728,-0.18,0,-0.18,-0.27,0.0684,0.36,-0.0288,-0.0828,-0.0954,-0.1404,-0.1566,0.036,0,-0.1908,0,-0.0828,-0.036,-0.135,-0.0954,-0.1188,-0.0558,-0.045,0.0414,-0.189,0.0072,0.12006
1.06,0.795,1.7596,1.1978,1.0176,-1.06,1.4628,2.12,0.8692,0,1.06,1.0176,1.06,0,1.06,1.59,-0.4028,-2.12,0.1696,0.4876,0.5618,0.8268,0.9222,-0.212,-0.1908,1.1236,0,0.4876,0.212,0.795,0.5618,0.6996,0.3286,0.265,-0.2438,1.113,-0.0424,-0.70702
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46,0.345,0.7636,0.5198,0.4416,-0.46,0.6348,0.92,0.3772,0,0.46,0.4416,0.46,0,0.46,0.69,-0.1748,-0.92,0.0736,0.2116,0.2438,0.3588,0.4002,-0.092,-0.0828,0.4876,0,0,0.092,0.345,0.2438,0.3036,0.1426,0.115,-0.1058,0.483,-0.0184,-0.30682
0.2,0.15,0.332,0.226,0.192,-0.2,0.276,0.4,0.164,0,0.2,0.192,0.2,0,0.2,0.3,-0.076,-0.4,0.032,0.092,0.106,0.156,0.174,-0.04,-0.036,0.212,0,0.092,0,0.15,0.106,0.132,0.062,0.05,-0.046,0.21,-0.008,-0.1334
0.75,0.5625,1.245,0.8475,0.72,-0.75,1.035,1.5,0.615,0,0.75,0.72,0.75,0,0.75,1.125,-0.285,-1.5,0.12,0.345,0.3975,0.585,0.6525,-0.15,-0.135,0.795,0,0.345,0.15,0,0.3975,0.495,0.2325,0.1875,-0.1725,0.7875,-0.03,-0.50025
0.53,0.3975,0.8798,0.5989,0.5088,-0.53,0.7314,1.06,0.4346,0,0.53,0.5088,0.53,0,0.53,0.795,-0.2014,-1.06,0.0848,0.2438,0.2809,0.4134,0.4611,-0.106,-0.0954,0.5618,0,0.2438,0.106,0.3975,0,0.3498,0.1643,0.1325,-0.1219,0.5565,-0.0212,-0.35351
0.66,0.495,1.0956,0.7458,0.6336,-0.66,0.9108,1.32,0.5412,0,0.66,0.6336,0.66,0,0.66,0.99,-0.2508,-1.32,0.1056,0.3036,0.3498,0.5148,0.5742,-0.132,-0.1188,0.6996,0,0.3036,0.132,0.495,0.3498,0,0.2046,0.165,-0.1518,0.693,-0.0264,-0.44022
0.31,0.2325,0.5146,0.3503,0.2976,-0.31,0.4278,0.62,0.2542,0,0.31,0.2976,0.31,0,0.31,0.465,-0.1178,-0.62,0.0496,0.1426,0.1643,0.2418,0.2697,-0.062,-0.0558,0.3286,0,0.1426,0.062,0.2325,0.1643,0.2046,0,0.0775,-0.0713,0.3255,-0.0124,-0.20677
0.25,0.1875,0.415,0.2825,0.24,-0.25,0.345,0.5,0.205,0,0.25,0.24,0.25,0,0.25,0.375,-0.095,-0.5,0.04,0.115,0.1325,0.195,0.2175,-0.05,-0.045,0.265,0,0.115,0.05,0.1875,0.1325,0.165,0.0775,0,-0.0575,0.2625,-0.01,-0.16675
-0.23,-0.1725,-0.3818,-0.2599,-0.2208,0.23,-0.3174,-0.46,-0.1886,0,-0.23,-0.2208,-0.23,0,-0.23,-0.345,0.0874,0.46,-0.0368,-0.1058,-0.1219,-0.1794,-0.2001,0.046,0.0414,-0.2438,0,-0.1058,-0.046,-0.1725,-0.1219,-0.1518,-0.0713,-0.0575,0,-0.2415,0.0092,0.15341
1.05,0.03,0.0664,0.0452,0.0384,-0.04,0.0552,0.08,0.0328,0,0.04,0.0384,0.04,0,0.04,0.06,-0.0152,-0.08,0.0064,0.0184,0.0212,0.0312,0.0348,-0.008,-0.0072,0.0424,0,0.0184,0.008,0.03,0.0212,0.0264,0.0124,0.01,-0.0092,0,-0.0016,-0.02668
-0.04,0.03,0.0664,0.0452,0.0384,-0.04,0.0552,0.08,0.0328,0,0.04,0.0384,0.04,0,0.04,0.06,-0.0152,-0.08,0.0064,0.0184,0.0212,0.0312,0.0348,-0.008,-0.0072,0.0424,0,0.0184,0.008,0.03,0.0212,0.0264,0.0124,0.01,-0.0092,0.042,0,-0.02668
-0.667,-0.50025,-1.10722,-0.75371,-0.64032,0.667,-0.92046,-1.334,-0.54694,0,-0.667,-0.64032,-0.667,0,-0.667,-1.0005,0.25346,1.334,-0.10672,-0.30682,-0.35351,-0.52026,-0.58029,0.1334,0.12006,-0.70702,0,-0.30682,-0.1334,-0.50025,-0.35351,-0.44022,-0.20677,-0.16675,0.15341,-0.70035,0.02668,0
