,0.75,1.66,1.13,0.96,-1,1.38,2,0.82,0,1,0.96,1,0,1,1.5,-0.38,-2,0.16,0.46,0.53,0.78,0.87,-0.2,-0.18,1.06,0,0.46,0.2,0.75,0.53,0.66,0.31,0.25,-0.23,1.05,-0.04,-0.667
0.75,0,1.245,0.8475,0.72,-0.75,1.035,1.5,0.615,0,0.75,0.72,0.75,0,0.75,1.125,-0.285,-1.5,0.12,0.345,0.3975,0.585,0.6525,-0.15,-0.135,0.795,0,0.345,0.15,0.5625,0.3975,0.495,0.2325,0.1875,-0.1725,0.7875,-0.03,-0.50025
1.66,1.245,0,1.8758,1.5936,-1.66,2.2908,3.32,1.3612,0,1.66,1.5936,1.66,0,1.66,2.49,-0.6308,-3.32,0.2656,0.7636,0.8798,1.2948,1.4442,-0.332,-0.2988,1.7596,0,0.7636,0.332,1.245,0.8798,1.0956,0.5146,0.415,-0.3818,1.743,-0.0664,-1.10722
1.13,0.8475,1.8758,0,1.0848,-1.13,1.5594,2.26,0.9266,0,1.13,1.0848,1.13,0,1.13,1.695,-0.4294,-2.26,0.1808,0.5198,0.5989,0.8814,0.9831,-0.226,-0.2034,1.1978,0,0.5198,0.226,0.8475,0.5989,0.7458,0.3503,0.2825,-0.2599,1.1865,-0.0452,-0.75371
0.96,0.72,1.5936,1.0848,0,-0.96,1.3248,1.92,0.7872,0,0.96,0.9216,0.96,0,0.96,1.44,-0.3648,-1.92,0.1536,0.4416,0.5088,0.7488,0.8352,-0.192,-0.1728,1.0176,0,0.4416,0.192,0.72,0.5088,0.6336,0.2976,0.24,-0.2208,1.008,-0.0384,-0.64032
-1,-0.75,-1.66,-1.13,-0.96,0,-1.38,-2,-0.82,0,-1,-0.96,-1,0,-1,-1.5,0.38,2,-0.16,-0.46,-0.53,-0.78,-0.87,0.2,0.18,-1.06,0,-0.46,-0.2,-0.75,-0.53,-0.66,-0.31,-0.25,0.23,-1.05,0.04,0.667
1.38,1.035,2.2908,1.5594,1.3248,-1.38,0,2.76,1.1316,0,1.38,1.3248,1.38,0,1.38,2.07,-0.5244,-2.76,0.2208,0.6348,0.7314,1.0764,1.2006,-0.276,-0.2484,1.4628,0,0.6348,0.276,1.035,0.7314,0.9108,0.4278,0.345,-0.3174,1.449,-0.0552,-0.92046
2,1.5,3.32,2.26,1.92,-2,2.76,0,1.64,0,2,1.92,2,0,2,3,-0.76,-4,0.32,0.92,1.06,1.56,1.74,-0.4,-0.36,2.12,0,0.92,0.4,1.5,1.06,1.32,0.62,0.5,-0.46,2.1,-0.08,-1.334
0.82,0.615,1.3612,0.9266,0.7872,-0.82,1.1316,1.64,0,0,0.82,0.7872,0.82,0,0.82,1.23,-0.3116,-1.64,0.1312,0.3772,0.4346,0.6396,0.7134,-0.164,-0.1476,0.8692,0,0.3772,0.164,0.615,0.4346,0.5412,0.2542,0.205,-0.1886,0.861,-0.0328,-0.54694
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
