0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
32.0,37.0,36.0,-3.0,6.0,35.0,34.0,-3.0,27.0,32.0,-3.0,31.0,-3.0,30.0,29.0,-3.0,7.0,20.0,25.0,22.0,25.0,23.0,14.0,10.0,25.0,14.0,21.0,12.0,20.0,19.0,17.0,13.0,-3.0,9.0,15.0,8.0,-3.0
28.0,37.0,36.0,33.0,5.0,34.0,35.0,32.0,24.0,31.0,30.0,29.0,22.0,27.0,26.0,11.0,2.0,16.0,21.0,19.0,25.0,23.0,9.0,6.0,-3.0,13.0,19.0,11.0,18.0,16.0,15.0,-3.0,9.0,6.0,14.0,5.0,3.0
36.0,13.0,25.0,33.0,37.0,17.0,7.0,30.0,35.0,28.0,26.0,23.0,31.0,20.0,6.0,32.0,34.0,29.0,-3.0,22.0,20.0,15.0,25.0,23.0,5.0,19.0,17.0,16.0,12.0,13.0,11.0,10.0,6.0,9.0,4.0,-3.0,3.0
30.0,37.0,36.0,33.0,8.0,35.0,34.0,31.0,24.0,32.0,29.0,28.0,21.0,27.0,26.0,13.0,2.0,-3.0,22.0,20.0,25.0,23.0,6.0,5.0,19.0,10.0,18.0,12.0,17.0,16.0,15.0,13.0,11.0,-3.0,8.0,-3.0,4.0
30.0,37.0,36.0,33.0,5.0,34.0,35.0,31.0,25.0,32.0,29.0,28.0,24.0,27.0,26.0,11.0,2.0,23.0,21.0,-3.0,22.0,20.0,10.0,7.0,19.0,13.0,18.0,11.0,17.0,16.0,15.0,14.0,9.0,5.0,-3.0,5.0,3.0
36.0,12.0,24.0,33.0,37.0,18.0,7.0,30.0,35.0,26.0,27.0,21.0,32.0,17.0,4.0,31.0,34.0,29.0,20.0,-3.0,15.0,-3.0,28.0,24.0,5.0,21.0,17.0,17.0,12.0,12.0,11.0,8.0,7.0,10.0,4.0,3.0,15.0
36.0,14.0,25.0,33.0,37.0,18.0,7.0,30.0,35.0,26.0,28.0,23.0,31.0,20.0,6.0,-3.0,34.0,30.0,25.0,22.0,18.0,14.0,28.0,23.0,5.0,20.0,16.0,17.0,12.0,-3.0,12.0,11.0,7.0,10.0,5.0,4.0,3.0
33.0,37.0,-3.0,34.0,6.0,36.0,35.0,31.0,26.0,32.0,29.0,30.0,25.0,28.0,27.0,13.0,3.0,19.0,23.0,21.0,24.0,22.0,11.0,8.0,20.0,14.0,18.0,10.0,17.0,-3.0,15.0,13.0,10.0,6.0,7.0,5.0,3.0
31.0,37.0,36.0,33.0,5.0,34.0,35.0,-3.0,26.0,32.0,29.0,30.0,25.0,28.0,27.0,-3.0,4.0,19.0,24.0,21.0,23.0,22.0,11.0,8.0,20.0,12.0,17.0,10.0,18.0,16.0,15.0,11.0,8.0,6.0,14.0,4.0,3.0
30.0,37.0,36.0,33.0,5.0,34.0,35.0,31.0,25.0,32.0,29.0,28.0,24.0,27.0,26.0,11.0,2.0,-3.0,22.0,20.0,23.0,21.0,10.0,7.0,19.0,13.0,18.0,16.0,17.0,-3.0,15.0,14.0,10.0,6.0,9.0,5.0,3.0
35.0,13.0,22.0,-3.0,37.0,15.0,8.0,32.0,35.0,28.0,28.0,26.0,31.0,22.0,7.0,34.0,33.0,30.0,27.0,23.0,20.0,18.0,25.0,21.0,5.0,19.0,17.0,16.0,13.0,12.0,-3.0,11.0,7.0,10.0,5.0,4.0,3.0
33.0,37.0,36.0,-3.0,6.0,35.0,34.0,32.0,26.0,31.0,30.0,29.0,25.0,28.0,27.0,12.0,3.0,19.0,23.0,21.0,24.0,22.0,10.0,7.0,20.0,12.0,18.0,11.0,17.0,16.0,-3.0,15.0,10.0,6.0,9.0,5.0,3.0
